title,release_date,genre,runtime,language
Hillbilly Elegy,2020-11-24,Drama,117,English
Notes for My Son,2020-11-24,Drama,83,Spanish
The Christmas Chronicles: Part Two,2020-11-25,Christmas comedy,115,English
The Beast,2020-11-27,Action thriller,99,Italian
The Call,2020-11-27,Psychological thriller,112,Korean
Finding Agnes,2020-11-30,Drama,105,Filipino
Just Another Christmas,2020-12-03,Christmas comedy,101,Portuguese
Christmas Crossfire,2020-12-04,Christmas thriller,106,German
Leyla Everlasting,2020-12-04,Comedy,112,Turkish
Mank,2020-12-04,Biopic,132,English
The Claus Family,2020-12-07,Christmas fantasy,97,Dutch
Rose Island,2020-12-09,Comedy drama,118,Italian
The Prom,2020-12-11,Musical,132,English
A California Christmas,2020-12-14,Christmas romantic comedy,107,English
Ma Rainey's Black Bottom,2020-12-18,Drama,94,English
The Midnight Sky,2020-12-23,Science fiction,118,English
AK vs AK,2020-12-24,Black comedy thriller,109,Hindi
We Can Be Heroes,2020-12-25,Superhero,100,English
What Happened to Mr. Cha?,2021-01-01,Comedy,102,Korean
Pieces of a Woman,2021-01-07,Drama,126,English
Stuck Apart,2021-01-08,Drama,96,Turkish
The Heartbreak Club,2021-01-14,Comedy drama,101,Indonesian
Double Dad,2021-01-15,Comedy drama,105,Portuguese
Outside the Wire,2021-01-15,Action / science fiction,115,English
Tribhanga – Tedhi Medhi Crazy,2021-01-15,Drama,95,Hindi
The White Tiger,2021-01-22,Drama,125,English
June & Kopi,2021-01-28,Drama,90,Indonesian
Finding ʻOhana,2021-01-29,Family,123,English
The Dig,2021-01-29,Drama,112,English
Below Zero,2021-01-29,Drama,106,Spanish
The Last Paradiso,2021-02-05,Romantic drama,107,Italian
Malcolm & Marie,2021-02-05,Romantic drama,106,English
Space Sweepers,2021-02-05,Science fiction,136,Korean
The Misadventures of Hedi and Cokeman,2021-02-10,Comedy,99,French
Red Dot,2021-02-11,Thriller,86,Swedish
Squared Love,2021-02-11,Romantic comedy,102,Polish
To All the Boys: Always and Forever,2021-02-12,Romantic comedy,115,English
Geez & Ann,2021-02-25,Romantic drama,105,Indonesian
Crazy About Her,2021-02-26,Romantic comedy,102,Spanish
The Girl on the Train,2021-02-26,Thriller,120,Hindi
Moxie,2021-03-03,Drama,111,English
